# wavelength   electrons_per_sec       
  623.972      0.569393                
  624.245      0.556583                
  624.517      0.514686                
  624.79       0.48249400000000003     
  625.062      0.47795699999999997     
  625.335      0.499627                
  625.608      0.515138                
  625.88       0.526866                
  626.153      0.5425180000000001      
  626.425      0.535455                
  626.698      0.500038                
  626.971      0.477786                
  627.243      0.46514199999999994     
  627.516      0.450034                
  627.788      0.441447                
  628.061      0.453015                
  628.334      0.48287699999999995     
  628.606      0.497639                
  628.879      0.499261                
  629.151      0.5486219999999999      
  629.424      0.911539                
  629.697      1.6206                  
  629.969      1.9915                  
  630.242      2.0749                  
  630.515      2.04491                 
  630.787      1.66827                 
  631.06       0.9269069999999999      
  631.332      0.539084                
  631.605      0.455878                
  631.878      0.444661                
  632.15       0.45115099999999997     
  632.423      0.47568699999999997     
  632.695      0.5220469999999999      
  632.968      0.5398069999999999      
  633.241      0.531024                
  633.513      0.5227280000000001      
  633.786      0.499552                
  634.058      0.454345                
  634.331      0.43574599999999997     
  634.604      0.44273599999999996     
  634.876      0.457573                
  635.149      0.47973699999999997     
  635.421      0.50511                 
  635.694      0.62482                 
  635.967      0.859773                
